Trieda CK,číslo CK,identifikačné číslo DC,ID mosta,evidenčné číslo - staré,Stavebno-technický stav,správca DC (z aplikácie mosty),vlastnik DC (z aplikácie mosty),druh konštrukcie,materiál DC,zaťažiteľnosť normálna,zaťažiteľnost výhradná,zaťažiteľnosť výnimočná,spôsob stanovenia,predmet premostenia,Kraj (CK),Okres (CK),Spravca (CK),LongitudeE,LatitudeN,VyskaH
cesta II. triedy,545,M2491.01,M2491,2,Uspokojivý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,trámová,monolitický železobetón,26.0,40.0,68.0,odhadom,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.334982558,49.049129652,267.929
cesta II. triedy,545,M7466.01,M7466,3,Zlý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,trámová,monolitický železobetón,23.0,40.0,188.0,odhadom,Železnica,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.335827781,49.049845008,270.731249
cesta II. triedy,545,M3210.01,M3210,4,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,klenbová,monolitický prostý betón,50.0,130.0,420.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.337710557,49.051851734,265.4305
cesta II. triedy,545,M3368.01,M3368,5,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,monolitický železobetón,26.0,40.0,350.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.342993061,49.057230218,267.179499
cesta II. triedy,545,M5185.01,M5185,7,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,monolitický železobetón,24.0,35.0,292.0,odhadom,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.33418836,49.069891231,269.939499
cesta II. triedy,545,M7280.01,M7280,8,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,prefabrikovaný železobetón,31.0,68.0,316.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.318765738,49.080326014,280.479999
cesta II. triedy,545,M7669.01,M7669,10,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,prefabrikovaný železobetón,34.0,77.0,338.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.312760272,49.089246327,287.115999
cesta II. triedy,545,M3685.01,M3685,11,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,monolitický železobetón,26.0,48.0,294.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.315861696,49.106654885,293.903999
cesta II. triedy,545,M1775.01,M1775,12,Bezchybný,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.315157665,49.113387673,291.574999
cesta II. triedy,545,M1535.01,M1535,15,Uspokojivý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,prefabrikovaný predpätý betón,38.0,104.0,239.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.312264848,49.116901429,293.973499
cesta II. triedy,545,M3987.01,M3987,16,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,prefabrikovaný predpätý betón,48.0,111.0,358.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.31192598,49.119104114,292.42875
cesta II. triedy,545,M767.01,M767,18,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,dosková,prefabrikovaný predpätý betón,48.0,121.0,290.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.312821954,49.128960348,296.441999
cesta II. triedy,545,M6792.01,M6792,20,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,klenbová,monolitický železobetón,26.0,65.0,159.0,odhadom,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.31473184,49.152981212,309.950249
cesta II. triedy,545,M6100.01,M6100,26,Uspokojivý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,dosková,prefabrikovaný predpätý betón,38.0,85.0,219.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.309000029,49.195605931,347.717999
cesta II. triedy,545,M7527.01,M7527,27,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,dosková,monolitický železobetón,38.0,92.0,420.0,odhadom,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.309938349,49.201545193,349.6815
cesta II. triedy,545,M4814.01,M4814,28,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,dosková,monolitický železobetón,26.0,43.0,378.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.296363685,49.214069027,364.099
cesta II. triedy,545,M2174.01,M2174,30,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.270701126,49.240513924,341.414
cesta II. triedy,545,M6612.01,M6612,31,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.270102642,49.240815208,341.558999
cesta II. triedy,545,M1136.01,M1136,32,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.255553634,49.249745159,321.2535
cesta II. triedy,545,M7137.01,M7137,35,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,dosková,prefabrikovaný predpätý betón,21.0,62.0,154.0,podľa tabuliek,Železnica,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.256885002,49.269610103,303.51025
cesta II. triedy,545,M728.01,M728,36,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,dosková,prefabrikovaný železobetón,26.0,52.0,314.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.269589535,49.2753817,285.4495
cesta II. triedy,545,M3182.01,M3182,37,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,dosková,prefabrikovaný predpätý betón,48.0,116.0,326.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.271528385,49.277383136,283.042499
cesta II. triedy,545,M2710.01,M2710,40,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.294776581,49.392765575,371.8735
cesta II. triedy,545,M4850.01,M4850,41,Bezchybný,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,klenbová,oceľ -  plnostenná,32.0,80.0,196.0,projektovaná,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.294145172,49.397143384,379.1855
cesta II. triedy,545,M6493.01,M6493,42,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.294576564,49.398291853,381.463499
cesta II. triedy,545,M2179.01,M2179,43,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.295432696,49.400770156,382.644
cesta II. triedy,545,M1684.01,M1684,44,Bezchybný,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.298373783,49.407947284,390.51875
cesta II. triedy,545,M4523.01,M4523,47,Uspokojivý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,dosková,prefabrikovaný železobetón,33.0,77.0,295.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.304882965,49.416752744,406.020749
cesta II. triedy,545,M3060.01,M3060,48,Bezchybný,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,klenbová,oceľ -  plnostenná,32.0,80.0,124.0,projektovaná,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.310442654,49.420769665,418.2265
cesta II. triedy,545,M2870.01,M2870,49,Uspokojivý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,klenbová,kameň,17.0,67.0,196.0,podľa tabuliek,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.316083369,49.424987055,429.804499
cesta II. triedy,545,M2483.01,M2483,50,Bezchybný,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",Prešovský samosprávny kraj,klenbová,oceľ -  plnostenná,32.0,80.0,196.0,projektovaná,Vodný tok,Prešovský kraj,Bardejov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Bardejov",21.317467367,49.433179423,449.634999
cesta II. triedy,546,M5091.01,M5091,2,Uspokojivý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,prefabrikovaný predpätý betón,38.0,73.0,238.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.155472295,48.954621959,306.2385
cesta II. triedy,546,M6687.01,M6687,3,Uspokojivý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,prefabrikovaný predpätý betón,38.0,88.0,286.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.142016467,48.961340203,310.328999
cesta II. triedy,546,M1276.01,M1276,003A,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,prefabrikovaný železobetón,34.0,90.0,397.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.137112224,48.962338142,312.183499
cesta II. triedy,546,M2708.01,M2708,003B,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,prefabrikovaný železobetón,34.0,90.0,397.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.135300944,48.962576981,315.773
cesta II. triedy,546,M1476.01,M1476,5,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,prefabrikovaný železobetón,49.0,107.0,420.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.087055616,48.965911288,375.940499
cesta II. triedy,546,M7410.01,M7410,6,Dobrý,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,dosková,monolitický železobetón,24.0,41.0,294.0,podľa tabuliek,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.086506599,48.965813337,373.9985
cesta II. triedy,546,M790.01,M790,7,Bezchybný,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,klenbová,oceľ -  plnostenná,32.0,80.0,196.0,projektovaná,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.038251045,48.925121818,576.433499
cesta II. triedy,546,M2867.01,M2867,8,Bezchybný,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",Prešovský samosprávny kraj,klenbová,oceľ -  plnostenná,32.0,80.0,196.0,projektovaná,Vodný tok,Prešovský kraj,Prešov,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Prešov",21.035032707,48.918515898,509.2195
cesta II. triedy,546,M6053.01,M6053,10,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,25.0,44.0,134.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",21.018301497,48.89504965,340.378249
cesta II. triedy,546,M112.01,M112,13,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,trámová,monolitický predpätý betón,22.0,67.0,156.0,odhadom,Vodná nádrž,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",21.00937672,48.88934122,330.516499
cesta II. triedy,546,M3386.01,M3386,14,Dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,rámová,monolitický predpätý betón,29.0,73.0,181.0,odhadom,Vodná nádrž,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.997178589,48.878808695,331.93975
cesta II. triedy,546,M5552.01,M5552,16,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,20.0,68.0,168.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.996927746,48.877378588,331.433
cesta II. triedy,546,M38.01,M38,17,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,11.0,28.0,168.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.99195205,48.873555754,333.679499
cesta II. triedy,546,M6391.01,M6391,18,Veľmi dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,34.0,60.0,280.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.959468079,48.86638463,341.520999
cesta II. triedy,546,M64.01,M64,19,Veľmi dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,klenbová,monolitický prostý betón,50.0,120.0,420.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.921276911,48.838185208,385.1325
cesta II. triedy,546,M1517.01,M1517,20,Veľmi dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,klenbová,monolitický železobetón,35.0,65.0,420.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.916990951,48.815674824,380.531499
cesta II. triedy,546,M3503.01,M3503,21,Veľmi dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,klenbová,monolitický železobetón,37.0,67.0,420.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.914364825,48.814876932,379.4755
cesta II. triedy,546,M6577.01,M6577,22,Dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,trámová,prefabrikovaný predpätý betón,31.0,88.0,181.0,podľa tabuliek,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.898554581,48.816654602,384.50525
cesta II. triedy,546,M7371.01,M7371,23,Veľmi dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,trámová,oceľ -  plnostenná,32.0,80.0,196.0,odhadom,Železnica,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.893702884,48.816361992,395.057499
cesta II. triedy,546,M6581.01,M6581,24,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,klenbová,kameň,8.0,19.0,77.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.878339948,48.83181885,402.10425
cesta II. triedy,546,M5724.01,M5724,25,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,klenbová,kameň,10.0,25.0,126.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.87477482,48.831387884,403.088
cesta II. triedy,546,M3586.01,M3586,26,Zlý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,klenbová,kameň,7.0,21.0,84.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.868692951,48.828424534,401.535499
cesta II. triedy,546,M5060.01,M5060,28,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,klenbová,kameň,9.0,30.0,126.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.862781685,48.827141641,399.175499
cesta II. triedy,546,M4663.01,M4663,29,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,klenbová,kameň,10.0,26.0,98.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.846370588,48.824466931,403.064499
cesta II. triedy,546,M4537.01,M4537,30,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,klenbová,kameň,15.0,20.0,136.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.826345081,48.814649927,414.13675
cesta II. triedy,546,M3037.01,M3037,31,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,trámová,monolitický železobetón,19.0,41.0,269.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.80970416,48.808773649,418.278999
cesta II. triedy,546,M5760.01,M5760,32,Dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,prefabrikovaný železobetón,37.0,96.0,325.0,podľa tabuliek,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.760116592,48.789324743,465.508
cesta II. triedy,546,M1129.01,M1129,33,Veľmi dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,prefabrikovaný železobetón,35.0,90.0,362.0,podľa tabuliek,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.747828252,48.797801146,450.178249
cesta II. triedy,546,M4617.01,M4617,35,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,28.0,72.0,250.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.724030798,48.808559495,459.56225
cesta II. triedy,546,M2680.01,M2680,36,Veľmi dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,prefabrikovaný železobetón,39.0,83.0,342.0,podľa tabuliek,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.711799914,48.812803008,471.832999
cesta II. triedy,546,M4699.01,M4699,37,Dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,trámová,monolitický železobetón,18.0,31.0,168.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.699863933,48.813302741,475.029999
cesta II. triedy,546,M5927.01,M5927,38,Dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,prefabrikovaný predpätý betón,26.0,51.0,282.0,podľa tabuliek,Kanál,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.695606247,48.812916195,474.896999
cesta II. triedy,546,M4635.01,M4635,39,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,prefabrikovaný predpätý betón,21.0,62.0,230.0,podľa tabuliek,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.694586679,48.812706571,473.92375
cesta II. triedy,546,M1222.01,M1222,40,Bezchybný,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.677608688,48.80898824,484.874249
cesta II. triedy,546,M5943.01,M5943,42,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,25.0,70.0,330.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.643745292,48.836915391,508.769
cesta II. triedy,546,M6229.01,M6229,43,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,trámová,prefabrikovaný predpätý betón,24.0,55.0,100.0,podľa tabuliek,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.627863515,48.839108417,516.83275
cesta II. triedy,546,M5793.01,M5793,44,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,30.0,70.0,125.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.618769958,48.842268169,529.102499
cesta II. triedy,546,M6337.01,M6337,45,Zlý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,trámová,monolitický železobetón,12.0,22.0,139.0,odhadom,Vodný tok,Košický kraj,Gelnica,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.584642993,48.853586827,605.702749
cesta II. triedy,546,M7380.01,M7380,46,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,11.0,25.0,72.0,odhadom,Vodný tok,Košický kraj,Spišská Nová Ves,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.576593186,48.856098766,627.59225
cesta II. triedy,546,M746.01,M746,47,Dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,8.0,34.0,208.0,odhadom,Vodný tok,Košický kraj,Spišská Nová Ves,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.575251048,48.856420012,631.918
cesta II. triedy,546,M6751.01,M6751,48,Uspokojivý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,21.0,24.0,123.0,odhadom,Vodný tok,Košický kraj,Spišská Nová Ves,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.574007708,48.86027765,651.028749
cesta II. triedy,546,M7326.01,M7326,49,Dobrý,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",Košický samosprávny kraj,dosková,monolitický železobetón,20.0,47.0,196.0,odhadom,Vodný tok,Košický kraj,Spišská Nová Ves,"Správa ciest Košického samosprávneho kraja, Správa a údržba Spišská Nová Ves",20.5609437,48.872547895,700.866999
