Trieda PK,Číslo PK,Most /DC,Názov mosta,ID mosta,ID DC,správcovské číslo,Stavebno-technický stav,Longitude,Latitude,Vyska,Druh konštrukcie,Material,Normána zaťažiteľnost / t,Výhradná zaťažiteľnosť / t,Výnimočná zaťažiteľnosť / t,Spôsob stanovenie,Predmet premostenia,Rok postavenia,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia / m,Dĺžka nosnej konštrukcie / m,Volná šírka mosta/ m,Šírka medzi obrubami/ m,Pocha mosnej konštrukcie / m2,Plocha mosta / m2,Vlastník úseku,Správca úseku,Okres,Smer úseku,Typ úseku,Počiatočný uzol,Koncový uzol,úsek ID,úsekové staničenie začiatku DC / m,Kilometrovníkové staničenie začiatku DC / km,Kumulatívne staničenie začiatku DC / km,Poradie úsekov
cesta I. triedy,63,Most,63_027 Most cez Búčsky kanál,M2534,M2534.01,27,Uspokojivý,18.430414898,47.770794504,112.65175,dosková,prefabrikovaný predpätý betón,48.0,101.0,298.0,podľa tabuliek,Kanál,1989.0,,1.0,13.45,,9.5,9.5,,,STAT,SSC - IVSC BA,Komárno,oba smery trasy CK,medzikrižovatkový,4544A05100,4544A00801,369220,1176,125.991,121.484,474.0
cesta I. triedy,63,Most,63_027A Most cez kanál Mraska v k.ú. obce Kravany nad Dunajom,M19,M19.01,027A,Uspokojivý,18.464421763,47.774829195,108.51325,dosková,prefabrikovaný predpätý betón,48.0,102.0,265.0,podľa tabuliek,Kanál,1989.0,,1.0,16.45,,9.5,9.5,,,STAT,SSC - IVSC BA,Komárno,oba smery trasy CK,medzikrižovatkový,4544A04600,4544A04700,367505,143,128.919,124.406,477.0
cesta I. triedy,63,Most,63_027C Most cez kanál Mraska pri obci Čenkov,M4350,M4350.01,027C,Uspokojivý,18.522358553,47.761781111,108.573,dosková,prefabrikovaný predpätý betón,48.0,107.0,250.0,porovnávací výpočet,Kanál,1989.0,,1.0,16.45,,9.5,9.5,,,STAT,SSC - IVSC BA,Nové Zámky,oba smery trasy CK,medzikrižovatkový,4544B00100,4544A08200,2115,828,130.044,129.103,481.0
cesta I. triedy,63,Most,63_028 Most cez potok za obcou Mužla,M4653,M4653.01,28,Veľmi zlý,18.584740079,47.784954124,108.129499,trámová,monolitický železobetón,10.0,24.0,52.0,porovnávací výpočet,Vodný tok,1948.0,,1.0,9.0,,7.85,6.8,,,STAT,SSC - IVSC BA,Nové Zámky,oba smery trasy CK,medzikrižovatkový,4544A08400,4544A08500,418392,1886,135.523,134.556,484.0
cesta I. triedy,63,Most,63_029 Most cez odpad z rybníka v Mužli,M4964,M4964.01,29,Veľmi zlý,18.600448318,47.788049363,107.7635,dosková,monolitický železobetón,14.0,43.0,378.0,podľa tabuliek,Vodná nádrž,1948.0,,1.0,2.6,,6.7,6.4,,,STAT,SSC - IVSC BA,Nové Zámky,oba smery trasy CK,medzikrižovatkový,4544A08600,4544A08700,418394,11,136.755,135.767,486.0
cesta I. triedy,63,Most,63_031 Hraničný most SR/MR cez Dunaj v Štúrove,M6169,M6169.01,31,Uspokojivý,18.7283387,47.795484205,120.717749,priehradová,oceľ -  priehradová,22.0,40.0,0.0,projektovaná,Vodný tok,2001.0,,6.0,497.71,,6.8,6.0,,,STAT,SSC - IVSC BA,Nové Zámky,oba smery trasy CK,medzikrižovatkový,4633A06102,4633A00200,604115,101,148.046,146.958,541.0
cesta I. triedy,64,Most,Nový cestný most medzi mestami Komárno - Komárom,M9845,M9845.01,,Bezchybný,18.08463,47.75681,,zavesená,oceľ -  plnostenná,42.0,120.0,300.0,projektovaná,"Vodný tok,  Účelová komunikácia,  Iná prekážka",2020.0,"Zať.model: 1,2",5.0,598.09,601.0,11.5,11.5,12038.9,11974.6,STAT,SSC - IVSC BA,Komárno,oba smery trasy CK,medzikrižovatkový,4543A33700,4543A06906,1169884,0,0.544,0.0,1.0
cesta I. triedy,64,Most,64_005 Most nad železnicou Komárno - Nové Zámky,M5997,M5997.01,5,Uspokojivý,18.160570262,47.777352544,118.648,trámová,prefabrikovaný predpätý betón,41.0,105.0,203.0,porovnávací výpočet,Železnica,1975.0,,3.0,70.0,,13.0,10.5,,,STAT,SSC - IVSC BA,Komárno,oba smery trasy CK,medzikrižovatkový,4543A07800,4543A07900,367455,302,2.602,2.184,7.0
cesta I. triedy,64,Most,64_008 Most cez Patinský kanál v k.ú. obce Ďulov Dvor,M7,M7.01,8,Uspokojivý,18.179690626,47.795643699,108.822499,dosková,prefabrikovaný predpätý betón,43.0,103.0,240.0,porovnávací výpočet,Vodný tok,1977.0,,1.0,16.4,,11.9,11.5,,,STAT,SSC - IVSC BA,Komárno,oba smery trasy CK,medzikrižovatkový,4543A29800,4543A08100,917449,1232,5.21,4.743,10.0
cesta I. triedy,64,Most,64_009 Most cez potok v k.ú. obce Hurbanovo,M2626,M2626.01,9,Uspokojivý,18.181970355,47.861325596,110.670249,trámová,prefabrikovaný železobetón,36.0,82.0,225.0,,Vodný tok,1993.0,,1.0,7.75,,11.5,11.5,,,STAT,SSC - IVSC BA,Komárno,oba smery trasy CK,medzikrižovatkový,4541A00700,4541A13500,1708,367,12.961,12.725,22.0
cesta I. triedy,64,Most,64_010 Most cez mŕtve rameno rieky Žitava v obci Bajč,M7220,M7220.01,10,Uspokojivý,18.206366412,47.931008333,115.21725,dosková,monolitický železobetón,26.0,68.0,343.0,porovnávací výpočet,Vodná nádrž,1959.0,,1.0,6.5,,10.4,9.1,,,STAT,SSC - IVSC BA,Komárno,oba smery trasy CK,medzikrižovatkový,4541A12500,4541A12600,367357,53,21.895,21.406,75.0
cesta I. triedy,64,Most,64_011 Most cez rieku Žitava v k.ú. obce Bajč,M745,M745.01,11,Zlý,18.204205788,47.934181254,115.834499,dosková,monolitický železobetón,14.0,34.0,122.0,porovnávací výpočet,Vodný tok,1953.0,,2.0,27.8,,10.4,9.0,,,STAT,SSC - IVSC BA,Komárno,oba smery trasy CK,medzikrižovatkový,4541A12500,4541A12600,367357,433,22.275,21.786,75.0
cesta I. triedy,64,Most,64_012 Most cez rieku Nitra v Nových Zámkoch,M3129,M3129.01,12,Zlý,18.176026633,47.984691524,117.682,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,porovnávací výpočet,Vodný tok,1959.0,,3.0,70.2,,11.5,11.5,,,STAT,SSC - IVSC BA,Nové Zámky,oba smery trasy CK,medzikrižovatkový,4541A01203,4541A27603,433074,14,28.275,27.728,109.0
cesta I. triedy,64,Most,64_015 Most nad železnicou Nitra - Nové Zámky v k.ú. obce Veľký Kýr,M169,M169.01,15,Uspokojivý,18.148005714,48.192856947,141.705749,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Železnica,2001.0,,1.0,88.6,,11.5,11.5,,,STAT,SSC - IVSC BA,Nové Zámky,oba smery trasy CK,medzikrižovatkový,4521A06700,4521B00800,418417,404,52.389,51.636,209.0
cesta I. triedy,64,Most,64_019 Most cez rieku Nitru v meste Nitra,M136,M136.01,19,Dobrý,18.089463711,48.307563479,141.339749,trámová,monolitický železobetón,22.0,79.0,177.0,odhadom,Vodný tok,1964.0,,3.0,45.4,,15.0,10.0,,,STAT,SSC - IVSC BA,Nitra,oba smery trasy CK,medzikrižovatkový,4521A51701,4521A39600,114710,76,67.461,66.11,333.0
cesta I. triedy,64,Most,64_020 Most nad železnicou Zbehy - Zlaté Moravce v k.ú. obce Dražovce,M6504,M6504.01,20,Uspokojivý,18.05178,48.35584,153.33,dosková,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Železnica,1998.0,,1.0,16.8,,9.5,9.5,,,STAT,SSC - IVSC BA,Nitra,oba smery trasy CK,medzikrižovatkový,3543A59200,3543A00103,853876,69,73.879,70.901,443.0
cesta I. triedy,64,Most,64_021 Most cez potok Dobrotka za obcou Dražovce,M3371,M3371.01,21,Zlý,18.04981692,48.358818472,145.023749,dosková,monolitický železobetón,20.0,51.0,212.0,odhadom,Vodný tok,1952.0,,1.0,9.0,,11.25,10.25,,,STAT,SSC - IVSC BA,Nitra,oba smery trasy CK,medzikrižovatkový,3543A00106,3543A35000,955116,195,74.248,71.18,456.0
cesta I. triedy,64,Most,64_022 Most cez rieku Nitra pred obcou Čakajovce,M2310,M2310.01,22,Veľmi zlý,18.04298882,48.368965049,146.42925,dosková,monolitický železobetón,11.3,19.8,105.6,statický výpočet podľa TP 02/2016,Vodný tok,1950.0,,3.0,68.4,,12.5,10.0,,,STAT,SSC - IVSC BA,Nitra,oba smery trasy CK,medzikrižovatkový,3543E10802,3543A31700,930267,150,75.406,72.358,460.0
cesta I. triedy,64,Most,64_024 Most cez Járok v obci Mýtna Nová Ves,M88,M88.01,24,Uspokojivý,18.106440757,48.484094561,161.431249,dosková,oceľ -  plnostenná,13.0,40.0,350.0,podľa tabuliek,Vodný tok,1950.0,,1.0,2.6,,9.0,9.0,,,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3543A13000,3543A61800,427874,10,89.894,86.753,531.0
cesta I. triedy,64,Most,64_026 Most cez potok Bojnianka v obci Chrabrany,M871,M871.01,26,Zlý,18.142247874,48.532208068,165.891,dosková,monolitický železobetón,31.0,72.0,170.0,porovnávací výpočet,Vodný tok,1949.0,,1.0,16.2,,11.55,11.55,,,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A59800,3541A59900,1294956,27,96.199,92.81,552.0
cesta I. triedy,64,Most,64_027 Most nad železnicou v k.ú. obce Topoľčany,M3104,M3104.01,27,Uspokojivý,18.153726856,48.540133319,173.4075,trámová,prefabrikovaný železobetón,32.0,80.0,196.0,,Železnica,1993.0,,3.0,43.66,,11.5,11.5,,,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A08803,3541A08708,940148,288,97.318,94.109,558.0
cesta I. triedy,64,Most,64_028 Most cez zavlažovací kanál v k.ú. obce Topoľčany,M5830,M5830.01,28,Uspokojivý,18.16215426,48.539409565,166.975749,trámová,prefabrikovaný železobetón,32.0,80.0,196.0,,Kanál,1993.0,,1.0,5.97,,11.5,11.5,,,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A08803,3541A08708,940148,938,98.026,94.759,558.0
cesta I. triedy,64,Most,64_029 Most cez rieku Nitra v k.ú. obce Topoľčany,M3134,M3134.01,29,Uspokojivý,18.172292971,48.543020729,171.97,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,,Vodný tok,1993.0,,6.0,197.93,,11.5,11.5,,,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A08803,3541A08708,940148,1717,98.806,95.538,558.0
cesta I. triedy,64,Most,64_032A  Most cez rieku NItra,M8069,M8069.01,032A,Uspokojivý,18.20315,48.56862,164.0,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2011.0,STN 73 6203,5.0,148.84,151.44,11.5,11.5,2044.44,2068.88,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A09000,3541A09101,104394,416,102.6,99.152,573.0
cesta I. triedy,64,Most,64_032B Most nad Bedzianskym potokom,M8117,M8117.01,,Uspokojivý,18.20246,48.57004,166.0,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,2011.0,STN 73 6203,1.0,29.3,17.5,11.5,11.5,670.52,567.08,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A09000,3541A09101,104394,1012,103.219,99.748,573.0
cesta I. triedy,64,Most,64_032C Most nad kanálom na ceste I/64,M8194,M8194.01,032C,Veľmi dobrý,18.19774,48.5758,164.0,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Kanál,2011.0,STN 73 6203,1.0,16.2,19.06,11.5,11.5,246.44,217.08,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A09000,3541A09101,104394,1367,103.574,100.103,573.0
cesta I. triedy,64,Most,64_032D Most na traťou ŽSR,M8279,M8279.01,032D,Uspokojivý,18.19508,48.57927,168.0,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Železnica,2011.0,STN 73 6203,4.0,58.55,61.55,11.5,11.5,814.3,746.52,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A09000,3541A09101,104394,1681,103.878,100.417,573.0
cesta I. triedy,64,Most,64_034 Most cez Solčiansky potok v obci Horné Chlebany,M4962,M4962.01,34,Uspokojivý,18.219416859,48.60137404,175.5255,dosková,monolitický železobetón,14.0,43.0,284.0,porovnávací výpočet,Vodný tok,1935.0,,1.0,2.95,,7.5,7.5,,,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A47400,3541A00700,427119,149,106.897,103.903,589.0
cesta I. triedy,64,Most,64_035 Most cez Rajčiansky potok v obci Rajčany,M4177,M4177.01,35,Uspokojivý,18.232441822,48.610537969,177.986999,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Vodný tok,1935.0,,1.0,3.8,,7.5,7.5,,,STAT,SSC - IVSC BA,Topoľčany,oba smery trasy CK,medzikrižovatkový,3541A60200,3541A22000,1294960,4,107.704,105.333,596.0
cesta I. triedy,64,Most,"64_036 Most cez rieku Bebrava, k.ú. Nadlice",M1830,M1830.01,36,Uspokojivý,18.25224456,48.616411728,177.7115,dosková,monolitický železobetón,23.0,120.0,140.0,porovnávací výpočet,Vodný tok,1954.0,,2.0,32.7,,11.5,10.0,,,STAT,SSC - IVSC ZA,Partizánske,oba smery trasy CK,medzikrižovatkový,3541A00800,3541A00900,7473,23,109.584,107.119,601.0
cesta I. triedy,64,Most,64_037 Most cez potok Hydina pred obcou Chynorany,M7649,M7649.01,37,Uspokojivý,18.260178837,48.613441527,176.103749,dosková,monolitický železobetón,23.0,47.0,224.0,porovnávací výpočet,Kanál,1953.0,,1.0,8.5,,11.5,8.4,,,STAT,SSC - IVSC ZA,Partizánske,oba smery trasy CK,medzikrižovatkový,3541A00800,3541A00900,7473,713,110.274,107.809,601.0
cesta I. triedy,64,Most,64_038 Most cez zberný kanál pri obci Chynorany,M1239,M1239.01,38,Uspokojivý,18.266782114,48.614662708,176.214,dosková,monolitický železobetón,10.0,33.0,261.0,podľa tabuliek,Kanál,1953.0,,1.0,3.0,,11.7,,,,STAT,SSC - IVSC ZA,Partizánske,oba smery trasy CK,medzikrižovatkový,3541A00800,3541A00900,7473,1226,110.784,108.322,601.0
cesta I. triedy,64,Most,64_040 Most cez Járok v obci Veľké Bielice,M5433,M5433.01,40,Dobrý,18.348930192,48.631213509,191.7945,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Vodný tok,1951.0,,1.0,4.3,,10.0,9.0,,,STAT,SSC - IVSC ZA,Partizánske,oba smery trasy CK,medzikrižovatkový,3542A12000,3542A12100,398916,428,117.787,115.434,625.0
cesta I. triedy,64,Most,64_041 Most  cez rieku Nitrica v obci Veľké Bielice,M7658,M7658.01,41,Uspokojivý,18.356011422,48.628715255,189.695749,dosková,monolitický železobetón,30.0,140.0,180.0,porovnávací výpočet,Vodný tok,1951.0,,2.0,27.2,,14.9,10.5,,,STAT,SSC - IVSC ZA,Partizánske,oba smery trasy CK,medzikrižovatkový,3542A00500,3542A12400,6733,24,118.446,116.093,632.0
cesta I. triedy,64,Most,64_042 Most cez odpadový kanál za obcou Veľké Bielice,M1578,M1578.01,42,Dobrý,18.360185178,48.627036621,189.5475,dosková,monolitický železobetón,17.0,52.0,325.0,podľa tabuliek,Kanál,1959.0,,1.0,4.0,,12.7,12.7,,,STAT,SSC - IVSC ZA,Partizánske,oba smery trasy CK,medzikrižovatkový,3542A12500,3542A12301,398921,263,118.812,116.459,634.0
cesta I. triedy,64,Most,64_044 Most cez rieku Nitra v obci Malé Uherce,M4095,M4095.01,44,Zlý,18.396559581,48.627211799,196.8505,trámová,monolitický železobetón,15.0,46.0,102.0,statický výpočet podľa TP 02/2016,Vodný tok,1950.0,,1.0,36.5,,12.5,10.5,,,STAT,SSC - IVSC ZA,Partizánske,oba smery trasy CK,medzikrižovatkový,3542A13600,3542A13701,398932,20,121.649,119.1,664.0
cesta I. triedy,64,Most,"64_046 Most pri železničnej stanici cez potok Drahožica, k.ú. Veľké Uherce",M2690,M2690.01,46,Uspokojivý,18.431016011,48.626004315,205.2415,dosková,prefabrikovaný predpätý betón,32.0,59.0,301.0,odhadom,Vodný tok,1975.0,,1.0,8.1,,11.5,10.5,,,STAT,SSC - IVSC ZA,Partizánske,oba smery trasy CK,medzikrižovatkový,3542A00200,3542A00800,6735,268,124.726,122.166,680.0
cesta I. triedy,64,Most,64_047 Most cez potok Pažitský na hranici okresu TO-PD,M2180,M2180.01,47,Uspokojivý,18.456525288,48.624511854,225.077,dosková,monolitický železobetón,10.0,37.0,224.0,porovnávací výpočet,Vodný tok,1910.0,,1.0,2.05,,10.2,9.8,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3542B00300,3542A23300,6696,0,126.415,124.067,684.0
cesta I. triedy,64,Most,64_049 Most cez potok Slamnica v obci Oslany,M3772,M3772.01,49,Veľmi dobrý,18.466911778,48.630022233,227.251499,dosková,monolitický železobetón,28.0,54.0,267.0,odhadom,Vodný tok,1954.0,,1.0,8.1,,9.0,8.05,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3542A23500,3542A23601,490544,49,127.558,125.074,689.0
cesta I. triedy,64,Most,64_051 Most cez bezmenný potok v obci Čereňany,M3566,M3566.01,51,Veľmi dobrý,18.483807573,48.640978568,218.9685,dosková,monolitický železobetón,32.0,57.0,285.0,odhadom,Vodný tok,1952.0,,1.0,10.1,,11.1,8.5,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3542A24200,3542A24300,490551,95,129.386,126.926,704.0
cesta I. triedy,64,Most,64_053 Most cez bezmenný potok v obci Čereňany,M6668,M6668.01,53,Veľmi dobrý,18.490478697,48.645710856,227.159499,dosková,monolitický železobetón,20.0,57.0,321.0,odhadom,Vodný tok,1955.0,,1.0,3.05,,10.8,8.0,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3542A24600,3542A34800,490555,129,130.217,127.674,709.0
cesta I. triedy,64,Most,"64_054 Rámový most cez bezmenný potok, k.ú. Čereňany",M3859,M3859.01,54,Veľmi dobrý,18.500312614,48.652402077,243.881999,rámová,prefabrikovaný železobetón,37.0,74.0,198.0,odhadom,Vodný tok,1982.0,,1.0,2.7,,13.78,10.71,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3542A24900,3542A01000,490558,640,131.189,128.71,713.0
cesta I. triedy,64,Most,"64_055 Most cez potok Bystrá, k.ú. Bystričany",M1200,M1200.01,55,Uspokojivý,18.509924268,48.660601571,252.205,dosková,monolitický železobetón,32.0,74.0,322.0,odhadom,Vodný tok,1982.0,,1.0,8.03,,12.25,12.25,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3542A25300,3542A25400,490706,140,132.387,129.871,715.0
cesta I. triedy,64,Most,"64_056 Rámový most cez bezmenný potok, k.ú. Bystričany",M7045,M7045.01,56,Bezchybný,18.513443874,48.663678756,255.136499,rámová,prefabrikovaný železobetón,50.0,84.0,288.0,odhadom,Vodný tok,1982.0,,1.0,2.19,,26.0,26.0,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3542A25400,3542A25500,490707,224,132.872,130.304,716.0
cesta I. triedy,64,Most,"64_059 Most cez zrážkový potok, k.ú. Zemianske Kostoľany",M6900,M6900.01,59,Veľmi zlý,18.519046771,48.676146249,238.973499,dosková,monolitický železobetón,40.0,48.0,80.0,odhadom,Vodný tok,1937.0,,1.0,2.3,,8.8,,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3542A25600,3542A25700,490709,632,134.223,131.77,718.0
cesta I. triedy,64,Most,64_060 Most cez zrážkový potok v obci Zemianske Kostoľany,M4645,M4645.01,60,Dobrý,18.521485495,48.682136516,229.877999,klenbová,monolitický prostý betón,12.0,47.0,194.0,odhadom,Vodný tok,1950.0,,1.0,3.25,,10.85,8.55,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A29000,3524A01400,490711,41,134.908,132.473,720.0
cesta I. triedy,64,Most,64_061 Most cez potok Bystrý v onci Zemianske Kostoľany,M7431,M7431.01,61,Dobrý,18.52327455,48.683491267,230.8355,dosková,monolitický železobetón,19.0,45.0,207.0,odhadom,Vodný tok,1962.0,,1.0,11.0,,11.0,9.0,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A01400,3524A01501,9020,2,135.107,132.672,721.0
cesta I. triedy,64,Most,64_062 Most cez potok Kostoliansky v obci Zemianske Kostoľany,M7511,M7511.01,62,Uspokojivý,18.526225321,48.686868791,233.263,dosková,monolitický železobetón,19.0,39.0,301.0,podľa tabuliek,Vodný tok,1955.0,,1.0,6.2,,14.05,9.0,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A33000,3524A58300,490824,17,135.516,133.099,726.0
cesta I. triedy,64,Most,64_064 Most cez železničnú vlečku do ENO v obci Nováky,M6101,M6101.01,64,Uspokojivý,18.536504348,48.701153515,243.187999,rámová,monolitický železobetón,18.0,39.0,143.0,odhadom,Železnica,1959.0,,1.0,17.51,,11.43,9.28,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A33200,3524A33501,490826,1566,137.221,134.925,729.0
cesta I. triedy,64,Most,64_065 Most cez potok Lehotský v meste Nováky,M1909,M1909.01,65,Veľmi dobrý,18.542127868,48.719119114,242.566,dosková,monolitický železobetón,28.0,55.0,235.0,odhadom,Vodný tok,1959.0,,1.0,9.68,,14.25,10.1,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A01600,3524A28701,7846,53,139.554,137.026,740.0
cesta I. triedy,64,Most,64_066 Most cez železničnú trať v meste Prievidza,M6016,M6016.01,66,Uspokojivý,18.624989645,48.766570377,275.31775,trámová,prefabrikovaný predpätý betón,24.0,70.0,203.0,podľa tabuliek,Železnica,1969.0,,10.0,238.0,,13.0,10.5,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A11300,3524A36600,954229,152,141.144,138.088,749.0
cesta I. triedy,64,Most,64_067 Most cez rieku Handlovka v meste Prievidza,M6986,M6986.01,67,Veľmi zlý,18.625326741,48.768788845,268.311249,trámová,prefabrikovaný predpätý betón,17.0,78.0,204.0,podľa tabuliek,Vodný tok,1969.0,,1.0,19.9,,15.5,10.5,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A36600,3524A50100,490912,12,141.369,138.443,750.0
cesta I. triedy,64,Most,64_067A Most cez podchod pre peších v meste Prievidza,M6764,M6764.01,067A,Bezchybný,18.625182443,48.771488774,271.2335,trámová,monolitický železobetón,32.0,80.0,196.0,projektovaná,,2005.0,,0.0,10.35,,14.0,,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A37500,3524A02010,490923,78,141.679,138.753,754.0
cesta I. triedy,64,Most,64_070 Most cez bezmenný potok v meste Prievidza,M4742,M4742.01,70,Uspokojivý,18.629458578,48.786862612,272.817999,dosková,prefabrikovaný železobetón,25.0,59.0,206.0,podľa tabuliek,Vodný tok,1975.0,,1.0,7.88,,12.23,12.19,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A36303,3524A36400,956661,348,143.357,140.538,784.0
cesta I. triedy,64,Most,64_071 Most cez potok Brezanka v obci Nedožery,M3143,M3143.01,71,Uspokojivý,18.643168383,48.814774659,289.773749,dosková,monolitický železobetón,8.0,20.0,144.0,podľa tabuliek,Vodný tok,1934.0,,1.0,3.55,,9.45,8.91,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A01900,3524A32200,8646,13,146.614,143.848,787.0
cesta I. triedy,64,Most,64_072 Most cez bezmenný potok v obci Nedožery - Brezany,M6459,M6459.01,72,Uspokojivý,18.643935827,48.822586258,295.373,dosková,monolitický železobetón,16.0,28.0,253.0,porovnávací výpočet,Vodný tok,1928.0,,1.0,2.71,,8.11,8.11,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A13700,3524A58200,490256,302,147.533,144.742,790.0
cesta I. triedy,64,Most,64_073 Most cez potok Rysný v obci Nedožery - brezany,M3954,M3954.01,73,Uspokojivý,18.644090368,48.825784041,298.505999,dosková,monolitický železobetón,20.0,34.0,357.0,porovnávací výpočet,Vodný tok,1934.0,,1.0,3.58,,11.6,8.11,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A13700,3524A58200,490256,657,147.888,145.097,790.0
cesta I. triedy,64,Most,64_075 Most cez bezmenný potok v obci Pravenec,M4397,M4397.01,75,Dobrý,18.644511309,48.842318054,314.187999,dosková,monolitický železobetón,41.0,124.0,420.0,porovnávací výpočet,Vodný tok,1934.0,,1.0,2.3,,12.24,8.48,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A13800,3524A13900,490257,253,149.804,146.97,792.0
cesta I. triedy,64,Most,64_077 Most cez občasný tok pri obci Pravenec,M4359,M4359.01,77,Dobrý,18.645235867,48.849027587,318.8965,dosková,monolitický železobetón,31.0,31.0,224.0,odhadom,Vodný tok,1934.0,,1.0,2.5,,8.7,7.7,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A14000,3522A20600,490259,40,150.566,147.732,794.0
cesta I. triedy,64,Most,64_078 Most cez rieku Nitra pri obci Pravenec,M6262,M6262.01,78,Veľmi dobrý,18.644059224,48.852781625,322.580499,dosková,monolitický železobetón,32.0,80.0,196.0,odhadom,Vodný tok,1948.0,,1.0,12.2,,9.0,10.5,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3524A14000,3522A20600,490259,466,150.992,148.158,794.0
cesta I. triedy,64,Most,64_079 Most cez potok Tužinka v obci Nitrianske Pravno,M7792,M7792.01,79,Uspokojivý,18.636875985,48.872926033,343.740999,trámová,monolitický železobetón,9.0,16.0,79.0,odhadom,Vodný tok,1937.0,,1.0,6.1,,7.1,,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3522A18300,3522A20400,490283,112,153.444,150.641,803.0
cesta I. triedy,64,Most,64_080 Most cez potok Tužinka v obci Nitrianske Pravno,M7192,M7192.01,80,Dobrý,18.638108228,48.876501288,345.717749,dosková,monolitický železobetón,17.0,17.0,118.0,odhadom,Vodný tok,1930.0,,1.0,2.55,,8.75,8.1,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3522A20300,3522A16000,1284768,3,154.519,151.181,806.0
cesta I. triedy,64,Most,64-081 Most cez zrážkový potok pred obcou Nitrianske Pravno,M617,M617.01,81,Veľmi zlý,18.638512397,48.886835837,358.3245,dosková,monolitický železobetón,12.0,35.0,36.0,podľa tabuliek,Vodný tok,1930.0,,1.0,4.38,,10.7,9.0,,,STAT,SSC - IVSC ZA,Prievidza,oba smery trasy CK,medzikrižovatkový,3522A20300,3522A16000,1284768,1155,155.671,152.333,806.0
