Trieda CK,Číslo CK,Pôvodné číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,LongitudeE,LatitudeN,VyskaH,Správca - most,Vlastník - most,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer_úseku,Typ_úseku,Vlastník CK,Typ správcu CK,Správca CK,Kraj,Okres,Pokračovanie,Poradie,Usek ID,Poc. Uzol,Konc. Uzol,Ev. dlzka useku,Úsekové staničenie začiatku,Kilometrovníkové staničenie začiatku - DC,Kumulatívne staničenie začiatku - DC,Kilometrovníkové staničenie začiatku - UZLA,Kumulatívne staničenie začiatku -UZLA
cesta I. triedy,12,,8,M6595,12_008 Most cez potok Skaliťanka v obci Skalité,,1967.0,,,1.0,12.6,,9.0,6.5,,,Uspokojivý,18.91161033,49.49295713,539.80375,Slovenská správa ciest - IVSC Žilina,Štát,12.6,dosková,prefabrikovaný predpätý betón,20.0,62.0,207.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Čadca,0.0,38,194251,2613A12800,2613A12900,157,38,11.115,10872,11077.0,10834
cesta I. triedy,12,,9,M7006,12_009 Most cez bezmenný potok v obci skalité,,1932.0,,,1.0,3.0,,7.0,6.2,,,Uspokojivý,18.934364533,49.497401125,577.599,Slovenská správa ciest - IVSC Žilina,Štát,3.0,dosková,monolitický železobetón,13.0,40.0,350.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Čadca,0.0,44,194257,2613A13400,2613A13500,195,175,12.947,12712,12772.0,12537
cesta I. triedy,13,,1,M3939,13_001 most cez odvodňovací kanál Čalovo - Medveďov,,1967.0,,,1.0,12.5,,9.5,8.5,,,Uspokojivý,17.728010122,47.842523526,127.964999,Slovenská správa ciest - IVSC Bratislava,Štát,12.5,dosková,prefabrikovaný železobetón,22.0,32.0,120.0,porovnávací výpočet,Kanál,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Dunajská Streda,0.0,10,1409,4532A01900,4532A17700,1707,643,3.335,3255,2692.0,2612
cesta I. triedy,13,,2,M7017,13_002 Most cez odvodňovací kanál Veľký Meder - Medveďov,,1967.0,,,1.0,13.2,,9.5,8.5,,,Uspokojivý,17.717921613,47.838678697,111.366999,Slovenská správa ciest - IVSC Bratislava,Štát,13.2,dosková,prefabrikovaný železobetón,28.0,52.0,172.0,porovnávací výpočet,Kanál,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Dunajská Streda,0.0,10,1409,4532A01900,4532A17700,1707,1518,4.196,4130,2692.0,2612
cesta I. triedy,13,,3,M4067,13_003 Most cez odvodňovací kanál Čalovo - Medveďov,,1967.0,,,1.0,26.0,,9.5,8.5,,,Uspokojivý,17.695931305,47.826754769,113.02525,Slovenská správa ciest - IVSC Bratislava,Štát,26.0,trámová,prefabrikovaný predpätý betón,34.0,53.0,95.0,porovnávací výpočet,Kanál,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Dunajská Streda,0.0,14,1431,4534A00900,4534A02800,861,305,6.342,6280,6037.0,5975
cesta I. triedy,13,,4,M5840,13_004 Most cez odvodňovací kanál Čalovo - Medveďov,,1967.0,,,1.0,24.6,,9.5,8.5,,,Zlý,17.679539477,47.815893753,113.205,Slovenská správa ciest - IVSC Bratislava,Štát,24.6,trámová,prefabrikovaný predpätý betón,22.0,40.0,80.0,porovnávací výpočet,Kanál,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Dunajská Streda,0.0,15,289951,4534A02800,4534A02900,2057,1186,8.081,8022,6895.0,6836
cesta I. triedy,13,,5,M6816,13_005 Most nad cestou II/506 v k.ú. obce Medveďov,,1942.0,,,3.0,22.1,,8.0,8.0,,,Uspokojivý,17.657148288,47.799349661,118.73575,Slovenská správa ciest - IVSC Bratislava,Štát,22.1,trámová,monolitický železobetón,22.0,48.0,80.0,projektovaná,Cestná komunikácia,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Dunajská Streda,0.0,19,290096,4533A01200,4533A00200,1424,608,10.62,10610,10062.0,10002
cesta I. triedy,13,,6,M3740,13_006 Most cez rameno Dunaja za obcou Medveďov,,1962.0,,,1.0,98.55,,8.72,7.5,,,Zlý,17.654940219,47.79702873,119.929749,Slovenská správa ciest - IVSC Bratislava,Štát,98.55,trámová,oceľ -  plnostenná,26.0,65.0,332.0,porovnávací výpočet,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Dunajská Streda,0.0,19,290096,4533A01200,4533A00200,1424,870,10.882,10872,10062.0,10002
cesta I. triedy,13,,7,M3602,13_007 Hraničný most MR_SR cez Dunaj v Medveďove,,1993.0,,,3.0,180.5,,8.7,7.5,,,Havarijný,17.651966183,47.793962318,121.390499,Slovenská správa ciest - IVSC Bratislava,Štát,180.5,priehradová,oceľ -  plnostenná,28.0,80.0,222.0,porovnávací výpočet,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Dunajská Streda,0.0,19,290096,4533A01200,4533A00200,1424,1241,11.253,11243,10062.0,10002
cesta I. triedy,14,,1,M7408,,,1968.0,,,1.0,8.0,,11.5,9.0,,,Uspokojivý,19.103212523,48.78974179,406.012749,Slovenská správa ciest - IVSC Banská Bystrica,Štát,8.0,dosková,prefabrikovaný železobetón,37.0,79.0,230.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Banská Bystrica,0.0,2,283725,3614A00105,3614A16100,2434,5,0.014,30,9.0,25
cesta I. triedy,14,,3,M3702,14_003 Most cez Bystrický potok pri obci Harmanec,,1968.0,,,1.0,8.0,,11.0,8.0,,,Uspokojivý,19.055879679,48.806580667,478.498749,Slovenská správa ciest - IVSC Banská Bystrica,Štát,8.0,dosková,prefabrikovaný železobetón,30.0,56.0,164.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Banská Bystrica,0.0,4,280337,3614A16200,3614A16300,1934,1846,4.511,4468,2684.0,2622
cesta I. triedy,14,,4,M2220,14_004 Most cez potok Bystrica v obci Dolný Harmanec,,1968.0,,,1.0,9.15,,10.5,8.0,,,Uspokojivý,19.05277735,48.809514525,488.497,Slovenská správa ciest - IVSC Banská Bystrica,Štát,9.15,dosková,prefabrikovaný železobetón,43.0,93.0,250.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Banská Bystrica,0.0,5,280338,3614A16300,3614A16400,668,318,4.917,4874,4599.0,4556
cesta I. triedy,14,,5,M583,14_005 Most cez potok Bystrica v obci Dolný Harmanec,,1968.0,,,1.0,10.4,,11.0,8.0,,,Dobrý,19.051023066,48.811168946,493.1165,Slovenská správa ciest - IVSC Banská Bystrica,Štát,10.4,dosková,prefabrikovaný železobetón,32.0,60.0,330.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Banská Bystrica,0.0,5,280338,3614A16300,3614A16400,668,543,5.142,5099,4599.0,4556
cesta I. triedy,14,,6,M6240,14_006 Most cez Čierny potok v obci Harmanec,,1968.0,,,1.0,7.0,,9.05,8.05,,,Uspokojivý,19.035708124,48.820966841,592.447499,Slovenská správa ciest - IVSC Banská Bystrica,Štát,7.0,dosková,prefabrikovaný železobetón,31.0,76.0,232.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Banská Bystrica,0.0,7,280341,3614A16600,3614A16700,768,456,7.159,7061,6703.0,6605
cesta I. triedy,14,,7,M2847,14_007 Most cez potok Bystrica v obci Harmanec,,1968.0,,,1.0,9.15,,9.05,8.05,,,Uspokojivý,19.035185369,48.821036493,585.62625,Slovenská správa ciest - IVSC Banská Bystrica,Štát,9.15,dosková,prefabrikovaný železobetón,79.0,110.0,348.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Banská Bystrica,0.0,7,280341,3614A16600,3614A16700,768,493,7.196,7098,6703.0,6605
cesta I. triedy,14,,8,M3458,14_008 Most cez potok Bystrica nad Harmaneckou jaskyňou,,1968.0,,,1.0,7.1,,9.23,8.23,,,Uspokojivý,19.034000582,48.821575411,578.6005,Slovenská správa ciest - IVSC Banská Bystrica,Štát,7.1,dosková,prefabrikovaný železobetón,36.0,93.0,291.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Banská Bystrica,0.0,8,280342,3614A16700,3614B00100,5865,38,7.499,7411,7471.0,7373
cesta I. triedy,14,,9,M2235,14_009 Most cez potok Bystrica za obcou Harmanec,,1968.0,,,1.0,4.0,,10.7,9.7,,,Uspokojivý,19.019604431,48.821873609,635.841499,Slovenská správa ciest - IVSC Banská Bystrica,Štát,4.0,dosková,prefabrikovaný železobetón,36.0,83.0,272.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Banská Bystrica,0.0,8,280342,3614A16700,3614B00100,5865,1110,8.519,8483,7471.0,7373
cesta I. triedy,14,,13,M5089,14_013 Most cez potok Žarnovica,,1956.0,,,1.0,2.8,,9.5,8.0,,,Uspokojivý,18.995329084,48.834179003,866.72275,Slovenská správa ciest - IVSC Žilina,Štát,2.8,dosková,monolitický železobetón,21.0,54.0,280.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Turčianske Teplice,0.0,9,6452,3614B00100,3613A08400,4032,669,13.961,13907,13292.0,13238
cesta I. triedy,14,,15,M1679,14_015 Most cez potok Žarnovica,,1956.0,,,1.0,6.8,,9.9,8.1,,,Zlý,18.946203738,48.842662452,661.68325,Slovenská správa ciest - IVSC Žilina,Štát,6.8,dosková,prefabrikovaný železobetón,32.0,73.0,236.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Turčianske Teplice,0.0,10,376948,3613A08400,3613A01600,896,757,18.071,18027,17325.0,17270
cesta I. triedy,14,,16,M3870,14_016 Most cez potok Žarnovica,,1951.0,,,1.0,5.8,,8.6,7.5,,,Dobrý,18.932656728,48.844412577,600.1015,Slovenská správa ciest - IVSC Žilina,Štát,5.8,klenbová,monolitický prostý betón,28.0,56.0,224.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Turčianske Teplice,0.0,11,2427,3613A01600,3613A07200,768,440,18.63,18606,18210.0,18166
cesta I. triedy,14,,17,M5103,14_017 Most cez potok Žarnovica,,1966.0,,,1.0,9.55,,9.7,8.0,,,Uspokojivý,18.923924821,48.841820429,618.542749,Slovenská správa ciest - IVSC Žilina,Štát,9.55,dosková,prefabrikovaný železobetón,41.0,84.0,228.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Turčianske Teplice,0.0,12,376781,3613A07200,3613A07300,796,762,19.74,19696,18958.0,18934
cesta I. triedy,14,,18,M7361,14_018 Most cez potok Žarnovica,,1968.0,,,1.0,7.9,,9.5,8.0,,,Uspokojivý,18.879446646,48.838049612,550.8555,Slovenská správa ciest - IVSC Žilina,Štát,7.9,dosková,prefabrikovaný predpätý betón,30.0,62.0,170.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC ZA,Žilinský kraj,Turčianske Teplice,0.0,14,2426,3613A01700,3613A00100,4957,4246,24.087,24029,19827.0,19783
cesta I. triedy,15,,000A,M467,"15_000A Most cez miestny potok, k.ú. Vranov nad Topľou",,1981.0,,,1.0,9.0,,11.5,11.5,,,Dobrý,21.716987376,48.869046804,122.8405,Slovenská správa ciest - IVSC Košice,Štát,9.0,dosková,prefabrikovaný predpätý betón,48.0,93.0,351.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Vranov nad Topľou,0.0,2,421832,3812A00205,3812A02600,946,253,0.346,345,93.0,92
cesta I. triedy,15,,1,M6625,15_001 Most cez bezmenný potok v obci Majerovce,,1929.0,,,1.0,4.85,,8.2,7.2,,,Uspokojivý,21.714226149,48.891921874,129.680999,Slovenská správa ciest - IVSC Košice,Štát,4.85,dosková,monolitický železobetón,18.0,35.0,178.0,porovnávací výpočet,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Vranov nad Topľou,0.0,10,403919,3812A38500,3812A38600,34,11,3.126,3101,3115.0,3090
cesta I. triedy,15,,2,M1526,15_002 most cez miestny potok v obci Sedliská,,1937.0,,,1.0,7.0,,7.5,7.0,,,Veľmi dobrý,21.723167019,48.903846665,132.981499,Slovenská správa ciest - IVSC Košice,Štát,7.0,dosková,monolitický železobetón,17.0,39.0,154.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Vranov nad Topľou,0.0,12,403921,3812A38700,3812A38800,215,175,4.628,4589,4422.0,4414
cesta I. triedy,15,,5,M4619,15_005 Most cez kanál v obci Podčičva,,1932.0,,,1.0,4.15,,10.1,8.0,,,Dobrý,21.739788056,48.912813039,128.959,Slovenská správa ciest - IVSC Košice,Štát,4.15,dosková,monolitický železobetón,16.0,17.0,124.0,odhadom,Kanál,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Vranov nad Topľou,0.0,20,403866,3812A34100,3812A34200,123,79,6.195,6187,6116.0,6108
cesta I. triedy,15,,6,M3495,15_006 Most cez miestny potok v obci Benkovce,,1948.0,,,1.0,4.0,,8.5,7.9,,,Uspokojivý,21.710166324,48.949391233,137.222999,Slovenská správa ciest - IVSC Košice,Štát,4.0,dosková,monolitický železobetón,22.0,31.0,234.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Vranov nad Topľou,1.0,1,403958,3812A40300,3812A40400,22,10,11.155,11164,11145.0,11154
cesta I. triedy,15,,7,M1723,15_007 MOst cez rieku Ondava pred obcou Malá Domaša,,1966.0,,,2.0,42.45,,11.0,8.5,,,Uspokojivý,21.706509308,48.967203132,135.37475,Slovenská správa ciest - IVSC Košice,Štát,42.45,trámová,prefabrikovaný predpätý betón,30.0,70.0,125.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Vranov nad Topľou,1.0,6,6197,3812A02300,3812A02400,550,155,13.261,13267,13106.0,13112
cesta I. triedy,15,,8,M4041,,,1966.0,,,1.0,4.3,,7.5,,,,Dobrý,21.704297123,49.045850365,161.3515,Slovenská správa ciest - IVSC Košice,Štát,4.3,rámová,monolitický železobetón,32.0,80.0,196.0,podľa tabuliek,Záplavové územie,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Vranov nad Topľou,1.0,13,9406,3812A02500,2834A23100,4005,3659,22.834,22906,19233.0,19247
cesta I. triedy,15,,9,M3109,15_009 Most cez potok Mrazovčík za obcou Turany nad Ondavou,,1949.0,,,1.0,4.5,,9.65,8.05,,,Dobrý,21.651586179,49.108988042,167.606,Slovenská správa ciest - IVSC Košice,Štát,4.5,dosková,monolitický železobetón,22.0,30.0,212.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,22,151088,2833A10700,2833A03300,1137,818,31.773,31796,31029.0,30978
cesta I. triedy,15,,10,M4071,15_010 Most cez potok Jablonovec pred obcou Miňovce,,1940.0,,,1.0,5.7,,9.8,8.0,,,Dobrý,21.650807273,49.120330664,166.201749,Slovenská správa ciest - IVSC Košice,Štát,5.7,dosková,monolitický železobetón,26.0,31.0,150.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,23,5872,2833A03300,2833A03400,979,957,33.047,33072,32092.0,32115
cesta I. triedy,15,,11,M1414,15_011 Most cez potok Stavlinec v obci Miňovce,,1957.0,,,1.0,5.4,,9.7,7.5,,,Dobrý,21.651568336,49.136043662,175.625499,Slovenská správa ciest - IVSC Košice,Štát,5.4,dosková,monolitický železobetón,26.0,46.0,239.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,29,151093,2833A11200,2833A11300,25,15,34.78,34806,34765.0,34791
cesta I. triedy,15,,1,M251,,,1968.0,,,3.0,60.05,,9.0,6.5,,,Dobrý,21.651563216,49.144058129,172.75275,"Správa a údržba ciest Prešovského samosprávneho kraja, oblasť Svidník",Prešovský samosprávny kraj,60.05,trámová,prefabrikovaný predpätý betón,39.0,81.0,117.0,porovnávací výpočet,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,31,151095,2833A11400,2833A03500,707,591,35.759,35785,35168.0,35194
cesta I. triedy,15,,011b,M9494,15_011b Miňovce - Most cez rieku Ondava,"SSC IVSC Košice, Kasárenské námestie 4",2013.0,ISK Inžinierske stavby a.s. Priemyselná 7 Košice,Model EC,1.0,40.0,43.3,10.5,9.5,549.81,500.0,Bezchybný,21.65181,49.14783,171.0,Slovenská správa ciest - IVSC Košice,Štát,44.7,trámová,monolitický predpätý betón,36.0,80.0,196.0,zaťažovacou skúškou,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,32,63268,2833A03500,2833A03100,1063,339,35.923,36240,35875.0,35901
cesta I. triedy,15,,011C,M8872,15_011C Most Breznica nad potokom Brusnička,"SSC IVSC Košice, Kasátrenské námestie 4, Košice",2012.0,"HANT BA DS, a.s. Považské Podhradie 77, 017 04 P. Bystrica",,1.0,22.0,24.36,9.5,8.5,254.81,244.2,Bezchybný,21.65353,49.14629,169.0,Slovenská správa ciest - IVSC Košice,Štát,24.36,trámová,spriahnutá betón-betón,32.0,80.0,196.0,projektovaná,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,32,63268,2833A03500,2833A03100,1063,489,36.073,36390,35875.0,35901
cesta I. triedy,15,,12,M2950,15_012 Most cez potok Brusníčka pred obcou Breznica,,1960.0,,,1.0,16.0,,8.9,7.3,,,Uspokojivý,21.656187838,49.14794609,171.17375,Slovenská správa ciest - IVSC Košice,Štát,16.0,trámová,prefabrikovaný predpätý betón,28.0,56.0,132.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,32,63268,2833A03500,2833A03100,1063,617,36.201,36518,35875.0,35901
cesta I. triedy,15,,13,M6548,15_013 Most cez potok Vojtovce v obci Breznica,,1960.0,,,1.0,13.2,,11.8,9.2,,,Zlý,21.66144453,49.16130484,176.4725,Slovenská správa ciest - IVSC Košice,Štát,13.2,trámová,prefabrikovaný predpätý betón,24.0,55.0,120.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,36,151039,2833A08800,2833A08900,47,26,37.836,38155,37810.0,38129
cesta I. triedy,15,,14,M1073,15_014 Most cez potok Chotčianka za obcou Stropkov,,1945.0,,,3.0,44.15,,9.1,8.0,,,Veľmi zlý,21.64503165,49.212077592,190.085999,Slovenská správa ciest - IVSC Košice,Štát,44.15,dosková,monolitický železobetón,16.0,55.0,164.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,62,151012,2831A09200,2831A09300,116,44,43.77,44089,43726.0,44045
cesta I. triedy,15,,16,M7433,15_016 Most cez miestny potok za obcou Tisinec,,1957.0,,,1.0,3.05,,9.2,8.0,,,Uspokojivý,21.633919055,49.225173819,194.727499,Slovenská správa ciest - IVSC Košice,Štát,3.05,dosková,prefabrikovaný železobetón,35.0,82.0,270.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,68,151018,2831A09800,2831A09900,1360,410,45.486,45804,45076.0,45394
cesta I. triedy,15,,17,M1942,15_017 Most cez Kozibradský potok v obci Duplín,,1957.0,,,1.0,5.0,,9.4,8.0,,,Dobrý,21.621606776,49.240125109,200.1325,Slovenská správa ciest - IVSC Košice,Štát,5.0,dosková,monolitický železobetón,26.0,46.0,294.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,72,151022,2831A10200,2831A01200,179,25,47.373,47702,47348.0,47677
cesta I. triedy,15,,18,M6953,15_018 Most cez potok Potočky za obcou Duplín,,1981.0,,,1.0,6.77,,9.5,8.5,,,Veľmi dobrý,21.620141431,49.242523343,201.0525,Slovenská správa ciest - IVSC Košice,Štát,6.77,dosková,prefabrikovaný železobetón,20.0,39.0,268.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stropkov,1.0,73,5795,2831A01200,2831B00500,833,136,47.665,47992,47529.0,47856
cesta I. triedy,15,,19,M1892,15_019 Most cez bezmenný potok za obcou Duplín,,1960.0,,,1.0,7.0,,9.5,8.5,,,Uspokojivý,21.605807423,49.252119204,204.337,Slovenská správa ciest - IVSC Košice,Štát,7.0,dosková,prefabrikovaný železobetón,38.0,94.0,290.0,podľa tabuliek,Vodný tok,oba smery trasy CK,lúč,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Svidník,1.0,75,5785,2831A00103,2831A00102,210,85,49.172,49496,49087.0,49411
cesta I. triedy,16,50,177,M4808,Most nad c.I/66.2 Zvolen,,1996.0,,,3.0,42.96,,12.5,12.5,,,Bezchybný,19.104493957,48.563107841,288.4995,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Zvolen","Národná diaľničná spoločnosť, a.s.",42.96,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Cestná komunikácia,oba smery trasy CK,lúč,NDS,NDS,NDS - SSUR ZV,Banskobystrický kraj,Zvolen,0.0,1,3019,3632A02306,3632A02302,151,26,233.837,306,233811.0,280
cesta I. triedy,16,50,178,M2917,"50_178 Most cez rieky Hron, Slatina a železničnú trať, k.ú. Zvolen",,1996.0,,,17.0,710.0,,10.25,10.25,,,Bezchybný,19.110580702,48.563397864,291.967,"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Zvolen","Národná diaľničná spoločnosť, a.s.",710.0,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,oba smery trasy CK,medzikrižovatkový,NDS,NDS,NDS - SSUR ZV,Banskobystrický kraj,Zvolen,0.0,8,474390,3632A30600,3632A30700,366,0,233.962,431,234923.0,847
cesta I. triedy,16,50,3,M4513,066023-003 Most ponad I/50 priNDS Zvolen,,1996.0,,,2.0,45.8,,13.0,9.0,,,Bezchybný,19.128725964,48.568486422,290.50525,"Banskobystrická regionálna správa ciest, a.s., Prevádzka Banská Bystrica",Banskobystrický samosprávny kraj,45.8,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Cestná komunikácia,"neaplikovateľný, nepoužiteľný",vetva,Nezn,N,Nezn,Banskobystrický kraj,Zvolen,0.0,13,3035,3632A02403,3632A02402,171,95,,95,236364.0,0
cesta I. triedy,16,50,180N2,M8002,50_180N2 Most nad potokom Neresnica - Pravý most,"SSC IVSC Banská Bystrica, Skuteckého 32, 974 23 Banská Bystrica",2013.0,"STAVBY MOSTOV SLOVAKIA,a.s., Janka Kráľa  11/231, 974 01 Banská Bystrica",Model EC,1.0,16.5,19.3,17.084,15.084,417.34,362.16,Bezchybný,19.13438,48.56716,287.0,Slovenská správa ciest - IVSC Banská Bystrica,Štát,21.708,rámová,monolitický železobetón,50.0,120.0,230.0,statický výpočet,Vodný tok,v smere trasy CK,lúč,STAT,SSC,SSC  - IVSC BA,Banskobystrický kraj,Zvolen,1.0,3,578088,3632A00601,3632A00605,186,159,237.455,2716,237296.0,2557
cesta I. triedy,16,50,180N1,M8003,50_180N1 Most nad potokom Neresnica Ľavý most,"SSC IVSC Banská Bysrica , Skuteckého 32, 974 23 Banská Bystrica",2013.0,"STAVBY MOSTOV SLOVAKIA,a.s., Janka Kráľa  11/231, 974 01 Banská Bystrica",Model EC,1.0,16.5,19.3,11.5,11.5,318.0,278.0,Veľmi dobrý,19.13438,48.5675,287.0,Slovenská správa ciest - IVSC Banská Bystrica,Štát,15.575,rámová,monolitický prostý betón,50.0,120.0,230.0,statický výpočet,Vodný tok,proti smeru trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Banskobystrický kraj,Zvolen,2.0,0,578075,3632A33300,3632A00606,278,160,237.517,2737,237718.0,2897
cesta I. triedy,16,50,181,M2994,50_181 Most cez bezmenný potok pri obci Môťová,,1960.0,,,1.0,3.7,,12.0,9.0,,,Dobrý,19.151589407,48.566302501,294.49,Slovenská správa ciest - IVSC Banská Bystrica,Štát,3.7,klenbová,monolitický prostý betón,32.0,48.0,200.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Zvolen,3.0,7,604121,3632A01205,3632A27200,248,99,238.714,4020,238615.0,3921
cesta I. triedy,16,50,182,M3805,50_182 Most cez rieku Slatina pri obci Môťová,,1960.0,,,1.0,37.3,,12.0,9.0,,,Uspokojivý,19.154467784,48.566467118,295.7115,Slovenská správa ciest - IVSC Banská Bystrica,Štát,37.3,rámová,monolitický železobetón,23.0,60.0,234.0,porovnávací výpočet,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC - IVSC BB,Banskobystrický kraj,Zvolen,3.0,8,474356,3632A27200,3632A27300,210,51,238.914,4220,238863.0,4169
