Trieda CK,Číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,LongitudeE,LatitudeN,VyskaH,Správca - most,Vlastník - most,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer useku,Typ useku,Vlastník CK,Typ správcu CK,Správca CK,KRAJ,OKRES,Pokračovanie,Poradie,Usek,Poc. Uzol,Konc. Uzol,Ev. dlzka useku,Úsekové staničenie začiatku,Kilometrovníkové staničenie začiatku,Kumulatívne staničenie začiatku
cesta I. triedy,67,055N1,M8825,"67_055N1 Most cez potok Rovný, Poprad-Matejovce, Ľavý",SSC IVSC Košice,2011.0,"Inžinierske stavby a.s., Košice, Závod Prešov",STN 73 06203,1.0,15.72,,10.25,10.25,211.68,184.71,Nezistený,20.3379,49.08583,649.0,Slovenská správa ciest - IVSC Košice,Štát,,rámová,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,2.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,7.0,4.0,28242.0,2734B00401,2733A28401,2184.0,969,92.578,91100.0
cesta I. triedy,67,054N1,M8726,"67_054N1 Most nad MK, Slavkovským potokom a žel. vlečkou- ľavý",SSC IVSC Košice,2011.0,"Inžinierske stavby a.s. Košice, Závod Prešov",STN 73 6203,7.0,161.9,173.1,,10.25,,,Nezistený,20.33324,49.08167,650.0,Slovenská správa ciest - IVSC Košice,Štát,,trámová,spriahnutá betón-betón,32.0,80.0,196.0,projektovaná,"Miestna komunikácia,  Vodný tok,  Železnica",2.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,7.0,4.0,28242.0,2734B00401,2733A28401,2184.0,1303,91.931,90766.0
cesta I. triedy,67,053N2,M9469,"67_053N2 Most cez potok Fujara, Poprad Matejovce - Ľavý","NDS, a.s. Bratislava",2008.0,"Doprastav, a.s.","STN 736203 ""A""",1.0,5.74,6.565,11.92,11.92,,68.59,Nezistený,20.32979,49.07507,654.0,Slovenská správa ciest - IVSC Košice,Štát,5.74,rámová,monolitický železobetón,32.0,80.0,196.0,statický výpočet,Vodný tok,2.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,7.0,5.0,440651.0,2733A28401,2733A05921,244.0,112,91.115,89773.0
cesta I. triedy,67,52,M8776,"67_052 Most cez rieku Poprad, Matejovce","Slovenská správa ciest, IVSC Košice",2011.0,"Inžinierske stavby, a.s. závod 06 Ľubotice",STN 73 6203,1.0,24.306,26.536,,26.25,,,Nezistený,20.32265,49.06703,658.0,Slovenská správa ciest - IVSC Košice,Štát,,trámová,spriahnutá betón-betón,32.0,80.0,196.0,projektovaná,Vodný tok,2.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,7.0,12.0,440649.0,2733A28201,2733A06100,898.0,849,90.165,88856.0
cesta I. triedy,67,57,M5392,67_057 Most cez bezmenný potok pred obcou Veľká Lomnica,,1961.0,,,1.0,5.1,,12.6,11.6,,,Zlý,20.344645001,49.103832589,647.8625,Slovenská správa ciest - IVSC Košice,Štát,5.1,dosková,prefabrikovaný železobetón,22.0,73.0,248.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,8.0,1.0,318864.0,2734A19200,2734A19300,829.0,43,94.693,93222.0
cesta I. triedy,67,59,M2320,67_059 Most cez Studený potok v obci Veľká Lomnica,,1957.0,,,2.0,24.75,,10.1,10.1,,,Veľmi dobrý,20.353676923,49.108212116,646.403999,Slovenská správa ciest - IVSC Košice,Štát,24.75,dosková,monolitický železobetón,32.0,80.0,196.0,statický výpočet,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,8.0,2.0,318865.0,2734A19300,2734A00600,552.0,24,95.503,94032.0
cesta I. triedy,67,60,M574,67_060 Most cez potok Skalný v obci Veľká Lomnica,,1984.0,,,1.0,14.06,,11.5,11.5,,,Uspokojivý,20.358069608,49.110439817,645.873,Slovenská správa ciest - IVSC Košice,Štát,14.06,dosková,prefabrikovaný predpätý betón,38.0,92.0,259.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,8.0,2.0,318865.0,2734A19300,2734A00600,552.0,436,95.915,94444.0
cesta I. triedy,67,62,M1322,67_062 Most cez rieku Poprad za obcou Veľká Lomnica,,1958.0,,,1.0,39.0,,9.4,9.4,,,Veľmi dobrý,20.366347835,49.111667358,649.181249,Slovenská správa ciest - IVSC Košice,Štát,39.0,oblúková,monolitický železobetón,30.0,65.0,210.0,porovnávací výpočet,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,8.0,5.0,318747.0,2734A12300,2734A12400,659.0,293,96.573,95082.0
cesta I. triedy,67,63,M775,67_063 Most  cez Vrbovský potok pred mestom Kežmarok,,1997.0,,,1.0,16.39,,9.7,9.7,,,Dobrý,20.412227275,49.126164643,625.981499,Slovenská správa ciest - IVSC Košice,Štát,16.39,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,8.0,17.0,318797.0,2734A15000,2734A15100,513.0,439,100.42,98948.0
cesta I. triedy,67,64,M5624,67_064 Most cez rieku Poprad v meste Kežmarok,,1967.0,,,1.0,38.0,,15.4,11.4,,,Zlý,20.424732386,49.138553874,619.94675,Slovenská správa ciest - IVSC Košice,Štát,38.0,rámová,monolitický predpätý betón,32.0,75.0,294.0,porovnávací výpočet,Vodný tok,998.0,vetva,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,8.0,34.0,328198.0,2734A01101,2734A01104,33.0,70,102.451,100984.0
cesta I. triedy,67,65,M5967,67_065 Most cez potok Biela Voda v meste Kežmarok,,1951.0,,,1.0,6.0,,15.6,11.7,,,Dobrý,20.431094255,49.147599304,615.335,Slovenská správa ciest - IVSC Košice,Štát,6.0,dosková,monolitický železobetón,46.0,86.0,276.0,porovnávací výpočet,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,9.0,4.0,318713.0,2734A08900,2734A01200,331.0,253,103.609,102050.0
cesta I. triedy,67,66,M521,67_066 Most cez potok Tiefengrund za mestom Kežmarok,,1960.0,,,1.0,8.65,,12.0,11.1,,,Uspokojivý,20.434335189,49.152685648,616.659,Slovenská správa ciest - IVSC Košice,Štát,8.65,dosková,prefabrikovaný železobetón,32.0,81.0,208.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,9.0,5.0,4633.0,2734A01200,2734A15700,1748.0,574,104.261,102702.0
cesta I. triedy,67,68,M2494,67-068 Most cez potok Čierna Voda v obci Strážka,,1948.0,,,1.0,12.85,,13.5,10.9,,,Zlý,20.457237467,49.173634029,609.785999,Slovenská správa ciest - IVSC Košice,Štát,12.85,trámová,monolitický železobetón,26.0,62.0,238.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,10.0,2.0,318811.0,2734A16100,2734A16200,87.0,73,107.026,105513.0
cesta I. triedy,67,69,M4317,Most cez miestnu komunikáciu v obci Strážky,,1950.0,,,1.0,3.85,,13.3,10.8,,,Dobrý,20.457567405,49.173744928,609.5525,Slovenská správa ciest - IVSC Košice,Štát,3.85,dosková,monolitický železobetón,25.0,64.0,238.0,porovnávací výpočet,Miestna komunikácia,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,10.0,3.0,318812.0,2734A16200,2734A16300,879.0,16,107.056,105543.0
cesta I. triedy,67,70,M5765,67_070 Most cez melioračný odpad pred obcou Spišská Belá,,1965.0,,,1.0,4.0,,11.0,10.0,,,Uspokojivý,20.451934796,49.182251741,631.773499,Slovenská správa ciest - IVSC Košice,Štát,4.0,dosková,prefabrikovaný železobetón,30.0,70.0,228.0,podľa tabuliek,Kanál,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,10.0,4.0,318813.0,2734A16300,2734A16400,693.0,348,108.465,106754.0
cesta I. triedy,67,72,M7305,67_072 Most cez Belský potok za obcou Spišská Belá,,1932.0,,,1.0,3.2,,8.7,8.1,,,Dobrý,20.398414744,49.204951483,683.668749,Slovenská správa ciest - IVSC Košice,Štát,3.2,dosková,monolitický železobetón,22.0,47.0,151.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,10.0,19.0,318669.0,2732A16900,2732A00300,3209.0,1110,113.821,112087.0
cesta I. triedy,67,73,M3444,67_073 Most cez potok Hučava za obcou Spišská Belá,,1938.0,,,1.0,3.0,,7.6,7.4,,,Dobrý,20.380990427,49.208527067,701.8465,Slovenská správa ciest - IVSC Košice,Štát,3.0,dosková,monolitický železobetón,26.0,40.0,350.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Kežmarok,10.0,19.0,318669.0,2732A16900,2732A00300,3209.0,2447,115.138,113424.0
cesta I. triedy,67,75,M2480,67_075 Most cez bezmenný potok za obcou Tatranská Kotlina,,1937.0,,,1.0,6.5,,7.1,6.2,,,Zlý,20.310168514,49.241402566,785.4315,Slovenská správa ciest - IVSC Košice,Štát,6.5,klenbová,monolitický prostý betón,27.0,58.0,228.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,33.0,4001.0,2731A00300,2731A03700,4084.0,1289,122.028,120290.0
cesta I. triedy,67,76,M4265,67_076 Most cez potok Biela za osadou Tatranská Kotlina,,1936.0,,,1.0,13.7,,9.5,9.5,,,Veľmi zlý,20.309093496,49.249917339,790.456999,Slovenská správa ciest - IVSC Košice,Štát,13.7,trámová,prefabrikovaný predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,33.0,4001.0,2731A00300,2731A03700,4084.0,2285,123.024,121286.0
cesta I. triedy,67,77,M696,67_077 Most cez horský potok pred obcou Ždiar,,1936.0,,,1.0,5.45,,7.7,,,,Veľmi zlý,20.299886952,49.263513375,831.463499,Slovenská správa ciest - IVSC Košice,Štát,5.45,klenbová,monolitický prostý betón,22.0,39.0,228.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,33.0,4001.0,2731A00300,2731A03700,4084.0,4051,124.792,123052.0
cesta I. triedy,67,78,M2056,67_078 Most cez miestny potok v obci Ždiar,,1937.0,,,1.0,3.0,,7.5,7.5,,,Dobrý,20.285216739,49.267184784,842.3515,Slovenská správa ciest - IVSC Košice,Štát,3.0,dosková,monolitický železobetón,26.0,40.0,350.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,35.0,440601.0,2731A03800,2731A03900,710.0,688,125.998,124228.0
cesta I. triedy,67,79,M2317,67_079 Most cez Belanský potok v obci Ždiar,,1937.0,,,1.0,3.6,,7.0,7.0,,,Dobrý,20.278978874,49.270856761,855.183499,Slovenská správa ciest - IVSC Košice,Štát,3.6,dosková,monolitický železobetón,28.0,67.0,158.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,36.0,440602.0,2731A03900,2731A04000,744.0,606,126.629,124856.0
cesta I. triedy,67,80,M3026,67_080 Most cez Ždiarsky potok v obci Ždiar,,1943.0,,,1.0,8.4,,8.1,6.1,,,Uspokojivý,20.265843056,49.269632021,872.865749,Slovenská správa ciest - IVSC Košice,Štát,8.4,trámová,monolitický železobetón,14.0,24.0,95.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,40.0,440606.0,2731A04300,2731A04400,59.0,46,127.603,125879.0
cesta I. triedy,67,81,M6933,67_081 Most cez potok Javorina za obcou Ždiar,,1950.0,,,1.0,5.9,,9.6,,,,Havarijný,20.207409801,49.279431588,1073.138,Slovenská správa ciest - IVSC Košice,Štát,5.9,klenbová,monolitický prostý betón,23.0,43.0,191.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,43.0,440609.0,2731A04600,2731A04700,3064.0,208,132.188,130474.0
cesta I. triedy,67,82,M7571,67_082 Most cez rameno potoka Javorinky pred obcou Podspády,,1953.0,,,1.0,6.0,,7.4,,,,Uspokojivý,20.182726508,49.277801225,926.7835,Slovenská správa ciest - IVSC Košice,Štát,6.0,dosková,monolitický železobetón,20.0,49.0,253.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,43.0,440609.0,2731A04600,2731A04700,3064.0,2918,134.911,133184.0
cesta I. triedy,67,83,M1638,67-083 Most cez potok Javorinka v obci Podspády,,1953.0,,,1.0,15.0,,11.0,10.0,,,Veľmi zlý,20.176698724,49.279887612,914.361,Slovenská správa ciest - IVSC Košice,Štát,15.0,trámová,monolitický železobetón,18.0,35.0,108.0,porovnávací výpočet,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,44.0,440610.0,2731A04700,2731A00401,427.0,342,135.399,133672.0
cesta I. triedy,67,85,M304,67_085 Most cez horský potok pred obcou Javorina,,1957.0,,,1.0,5.8,,10.1,9.0,,,Zlý,20.157409355,49.273504059,953.945999,Slovenská správa ciest - IVSC Košice,Štát,5.8,dosková,monolitický železobetón,17.0,30.0,182.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,46.0,8769.0,2731A00402,2731A02300,2999.0,1458,137.13,135327.0
cesta I. triedy,67,86,M7741,67_086 Most cez potok v obci Javorina,,1961.0,,,1.0,4.55,,11.8,8.8,,,Uspokojivý,20.140859823,49.265458195,1007.336249,Slovenská správa ciest - IVSC Košice,Štát,4.55,dosková,monolitický železobetón,26.0,44.0,303.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Poprad,10.0,47.0,440370.0,2731A02300,2731A02400,641.0,44,138.592,136912.0
cesta I. triedy,67,87,M1305,67_087 Most cez rieku Biela voda na št.hranici SR/PR v Lysej Poľane,,1900.0,,,1.0,20.1,,6.0,4.8,,,Havarijný,20.114834665,49.263478496,971.027499,Slovenská správa ciest - IVSC Košice,Štát,20.1,trámová,oceľ -  priehradová,15.0,40.0,0.0,porovnávací výpočet,Vodný tok,0.0,medzikrižovatkový,STAT,CU,CU,Prešovský kraj,Poprad,10.0,49.0,8744.0,2731B00100,2731A00200,14.0,4,141.311,139513.0
cesta I. triedy,68,5,M7175,,,1978.0,,,1.0,7.8,,8.74,7.74,,,Dobrý,20.700030131,49.387980841,501.228,Slovenská správa ciest - IVSC Košice,Štát,7.8,dosková,prefabrikovaný železobetón,31.0,74.0,298.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,0.0,5.0,218714.0,2723A01700,2741A15800,6579.0,2491,4.324,4257.0
cesta I. triedy,68,6,M6725,68_006 Most cez potok Ščerbach v obci Hraničné,,1948.0,,,1.0,14.0,,8.85,7.5,,,Bezchybný,20.699701132,49.375872048,526.283249,Slovenská správa ciest - IVSC Košice,Štát,14.0,trámová,monolitický železobetón,25.0,75.0,120.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,0.0,5.0,218714.0,2723A01700,2741A15800,6579.0,3894,5.706,5660.0
cesta I. triedy,68,7,M5096,68_007 Most cez bezmenný potok pred obcou Hraničné,,1948.0,,,1.0,4.7,,9.98,9.98,,,Dobrý,20.683683516,49.358557055,633.381999,Slovenská správa ciest - IVSC Košice,Štát,4.7,dosková,monolitický železobetón,26.0,67.0,164.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,0.0,7.0,5205.0,2741A00400,2741A13900,527.0,171,8.907,8805.0
cesta I. triedy,68,8,M2171,68_008 Most nad železničnou traťou v meste Stará Ľubovňa,,1966.0,,,3.0,29.35,,12.0,9.5,,,Dobrý,20.6848065,49.308896919,530.789999,Slovenská správa ciest - IVSC Košice,Štát,29.35,dosková,prefabrikovaný železobetón,32.0,70.0,205.0,podľa tabuliek,Železnica,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,0.0,11.0,5196.0,2741A01900,2741A02001,141.0,29,16.053,15364.0
cesta I. triedy,68,9,M6289,68_009 Most cez rieku Poprad v meste Stará Ľubovňa,,1969.0,,,1.0,63.0,,10.25,8.5,,,Veľmi dobrý,20.686369353,49.306685825,525.2215,Slovenská správa ciest - IVSC Košice,Štát,63.0,rámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,0.0,13.0,5202.0,2741A02002,2741A05201,217.0,46,16.291,15602.0
cesta I. triedy,68,10,M4643,68_010 Most cez potok Jakubianka v meste Stará Ľubovňa,,1992.0,,,1.0,22.21,,13.4,13.0,,,Dobrý,20.696933297,49.306509968,520.42225,Slovenská správa ciest - IVSC Košice,Štát,22.21,trámová,prefabrikovaný predpätý betón,35.0,101.0,420.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,1.0,220823.0,2741A23000,2741A23100,421.0,277,17.243,16395.0
cesta I. triedy,68,010A,M7712,68_010A Most nad poľnou cestou za mestom Stará Ľubovňa,,1992.0,,,1.0,10.72,,11.6,11.3,,,Dobrý,20.704594672,49.301928641,531.974499,Slovenská správa ciest - IVSC Košice,Štát,10.72,dosková,prefabrikovaný predpätý betón,48.0,95.0,349.0,podľa tabuliek,Účelová komunikácia,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,2.0,220824.0,2741A23100,2741A05601,2322.0,684,18.071,17223.0
cesta I. triedy,68,2,M2872,,,1992.0,,,3.0,46.32,,11.5,11.5,,,Dobrý,20.719381214,49.293422411,539.24975,Slovenská správa ciest - IVSC Košice,Štát,46.32,dosková,prefabrikovaný predpätý betón,48.0,98.0,278.0,podľa tabuliek,Cestná komunikácia,998.0,vetva,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,9.0,5184.0,2741A05603,2741A05604,233.0,132,,132.0
cesta I. triedy,68,11,M7387,68_011 Mot cez bezmenný potok za mestom Stará Ľubovňa,,1984.0,,,1.0,7.2,,11.5,,,,Veľmi dobrý,20.724201173,49.291081721,525.837499,Slovenská správa ciest - IVSC Košice,Štát,7.2,dosková,prefabrikovaný železobetón,31.0,79.0,195.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,11.0,247313.0,2741A05605,2741A01500,735.0,248,20.001,19192.0
cesta I. triedy,68,12,M5036,68_012 Most cez bezmenný potok pred odbočkou do Ľubovnianskych kúpeľov,,1984.0,,,1.0,5.01,,11.5,,,,Dobrý,20.737887559,49.28506174,519.059999,Slovenská správa ciest - IVSC Košice,Štát,5.01,dosková,prefabrikovaný železobetón,31.0,79.0,194.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,12.0,5186.0,2741A01500,2741A01400,1556.0,745,21.249,20424.0
cesta I. triedy,68,14,M2577,68_014 Most cez potok Ľubovnianka pri odbočke do Ľubovnianskych kúpeľov,,1948.0,,,1.0,3.9,,8.9,7.5,,,Uspokojivý,20.745564724,49.279522436,515.8365,Slovenská správa ciest - IVSC Košice,Štát,3.9,dosková,monolitický železobetón,15.0,38.0,94.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,13.0,5178.0,2741A01400,2741A01300,2708.0,36,22.096,21271.0
cesta I. triedy,68,15,M804,68-015 Most cez potok pred obcou Plavnica,,1920.0,,,1.0,4.0,,8.0,8.0,,,Veľmi zlý,20.76153927,49.273227714,574.487999,Slovenská správa ciest - IVSC Košice,Štát,4.0,klenbová,monolitický prostý betón,19.0,48.0,115.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,13.0,5178.0,2741A01400,2741A01300,2708.0,1495,23.583,22730.0
cesta I. triedy,68,16,M5428,68-016 Most cez potok Šambron v obci Plavnica,,1961.0,,,1.0,13.1,,8.5,8.5,,,Zlý,20.781332346,49.275096109,514.744,Slovenská správa ciest - IVSC Košice,Štát,13.1,trámová,prefabrikovaný predpätý betón,24.0,70.0,125.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,17.0,5171.0,2741A01201,2741A01100,3001.0,11,25.948,25089.0
cesta I. triedy,68,17,M2020,68_017 Most cez potok Hromošanka za odbočkou do obce Hromoš,,1961.0,,,1.0,9.0,,9.5,8.5,,,Uspokojivý,20.80587946,49.264280799,493.45875,Slovenská správa ciest - IVSC Košice,Štát,9.0,dosková,prefabrikovaný železobetón,40.0,88.0,240.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,17.0,5171.0,2741A01201,2741A01100,3001.0,2947,28.901,28025.0
cesta I. triedy,68,18,M4739,68_018 Most cez Kozelský potok v k.ú. obce Plaveč,,1980.0,,,1.0,13.46,,9.5,8.5,,,Veľmi dobrý,20.833335638,49.256360239,489.523499,Slovenská správa ciest - IVSC Košice,Štát,13.46,dosková,prefabrikovaný železobetón,29.0,56.0,224.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,19.0,5137.0,2741A01000,2741A16700,351.0,228,31.26,30377.0
cesta I. triedy,68,19,M4413,68_019 Most cez bezmenný potok za obcou Ľubotín,,1980.0,,,1.0,7.76,,9.5,8.5,,,Veľmi dobrý,20.842920668,49.255911178,484.592,Slovenská správa ciest - IVSC Košice,Štát,7.76,dosková,prefabrikovaný železobetón,36.0,86.0,420.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,20.0,218738.0,2741A16700,2741A02101,650.0,575,31.961,31075.0
cesta I. triedy,68,20,M7801,68_020 Most cez bezmenný potok pri obci Ľubotín,,1980.0,,,1.0,8.26,,10.0,9.0,,,Veľmi dobrý,20.858339329,49.264093133,481.788499,Slovenská správa ciest - IVSC Košice,Štát,8.26,dosková,prefabrikovaný železobetón,36.0,86.0,252.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,24.0,220800.0,2741A22500,2741A00201,1847.0,501,33.529,32643.0
cesta I. triedy,68,21,M948,68-021 Most cez železničnú trať v obci Ľubotín,,1980.0,,,6.0,146.22,,11.5,9.0,,,Veľmi zlý,20.870997252,49.267498556,494.89475,Slovenská správa ciest - IVSC Košice,Štát,146.22,dosková,prefabrikovaný predpätý betón,21.0,60.0,168.0,podľa tabuliek,Železnica,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,24.0,220800.0,2741A22500,2741A00201,1847.0,1685,34.752,33827.0
cesta I. triedy,68,22,M7197,68_022 Most cez potok Hradlová v obci Ľubotín,,1937.0,,,1.0,4.8,,9.37,7.52,,,Bezchybný,20.878912265,49.260480384,493.998999,Slovenská správa ciest - IVSC Košice,Štát,4.8,dosková,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,38.0,218748.0,2741A17700,2741A00800,1627.0,86,35.843,34918.0
cesta I. triedy,68,23,M1091,68_023 Most cez potok Vesné pred odbočkou do obce Ďurková,,1961.0,,,1.0,8.7,,9.5,8.5,,,Dobrý,20.882642563,49.246567253,512.144499,Slovenská správa ciest - IVSC Košice,Štát,8.7,dosková,prefabrikovaný železobetón,43.0,93.0,250.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,39.0,5159.0,2741A00800,2741A00701,146.0,101,37.485,36560.0
cesta I. triedy,68,24,M5594,68_024 Most cez bezmenný potok pred odbočkou do obce Šarišské Jastrabie,,1942.0,,,1.0,4.0,,8.5,6.5,,,Zlý,20.902313801,49.226605416,552.648499,Slovenská správa ciest - IVSC Košice,Štát,4.0,dosková,monolitický železobetón,26.0,39.0,97.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,41.0,233184.0,2741A00702,2741A00600,3355.0,2684,40.286,39328.0
cesta I. triedy,68,25,M6325,68_025 Most cez potok pred odb. do obce Šarišské Jastrabie,,1942.0,,,1.0,5.0,,8.5,6.5,,,Havarijný,20.902211619,49.225314607,554.773,Slovenská správa ciest - IVSC Košice,Štát,5.0,dosková,monolitický železobetón,26.0,42.0,105.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,41.0,233184.0,2741A00702,2741A00600,3355.0,2827,40.429,39471.0
cesta I. triedy,68,26,M1271,68_026 Most cez potok Hradlová pred odbočkou Pusté Pole,,1992.0,,,1.0,16.93,,11.3,10.5,,,Veľmi dobrý,20.91636245,49.217352278,592.831749,Slovenská správa ciest - IVSC Košice,Štát,16.93,dosková,prefabrikovaný predpätý betón,48.0,108.0,277.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC - IVSC KE,Prešovský kraj,Stará Lubovňa,1.0,42.0,5127.0,2741A00600,2741A00500,1580.0,1230,42.193,41229.0
